word,translation,pos,notes
ā-li,pronoun (independent A/U),"they (humans)","3PL.HUM; independent pronoun; case stacks after plural","ā + -li (PL)","—"
ēlkɬ,noun,meat,"Inanimate mass; commonly as PAT; incorporable","—","—"
hā.ʃi,noun,fire,"Inanimate mass; typically uncountable","—","Common incorporand with burn verbs"
hi-/hu-,prefix (agreement),3SG.IN A-index,"Backness harmony; number-insensitive; presence does not license A pro-drop","—","—"
hó.rē,verb,give; hand over,"Transitive; recipient via BEN applicative (-pe/-po + OBL index)","—","Common ditransitive with BEN"
hù,pronoun (independent A/U),"it (inanimate)","3SG.IN; independent pronoun; obligatory as A in finite clauses; takes case and optional plural -lu","—","—"
hù-lu,pronoun (independent A/U),"they (inanimates)","3PL.IN; case stacks after plural","hù + -lu (PL)","Back-harmonic plural"
hē,conjunction,or,"Coordinator of disjunction","—","Homophonous with preposition ‘from’"
hē,preposition,from,"Preposition selecting PAT-marked NP complement","—","Homophonous with coordinating ‘or’"
hē.nʲi,verb (stative),be tired,"Patientive intransitive; uses U-pattern; independent U-pronoun obligatory if pronominal-only","—","—"
i-/u-,prefix (agreement),1SG A-index,"Backness harmony; number-insensitive; presence does not license A pro-drop","—","Intervocalic lenition of following stops applies per general rule"
jí,demonstrative,this,"Pre-nominal determiner; no case; deictic only","—","Front-harmonic form"
jú,demonstrative,that,"Pre-nominal determiner; no case; deictic only","—","Back-harmonic form"
jē,conjunction,and,"Between coordinated items (NP/VP). In VP coordination, A-prefix omitted on second verb; a floating H tonal echo docks to left edge","—","—"
ka-/kʷo-,prefix (derivational),causative,"Adds external causer; requires independent A-pronoun and A-prefix; backness-conditioned allomorphy","—","Fixed order CAUS > DISTR > ROOT (CAUS precedes DISTR)"
kè,preposition,to; toward,"Preposition selecting PAT-marked NP complement","—","L-toned; distinct from PFV -ke/-ko and GOAL applicative"
krá.wu,noun,wind,"Inanimate mass; typically uncountable","—","Related in meaning to ‘storm’ but distinct lexeme"
krâ.wu.tō,noun,storm; squall,"Inanimate","—","—"
krî,verb (stative),be heavy,"Stative; can head relative clauses; agrees with subject as U","—","—"
krô.ʃe,verb,burn (tr.); set fire to,"Transitive; INSTR/COM with -re/-ro marks means","—","Stop+liquid onset; postalveolar fricative"
krô.ʃe-nēlʃ,noun,torch; firebrand,"Instrument/result nominal","krô.ʃe + -nēlʃ","Inanimate"
kó !kó.rō,noun,echo; call-and-response,"Inanimate; lexicalized downstep between H-toned syllables","—","Citation shows downstep (!H) in the second H"
kʷâr,verb,die; pass away,"Patientive intransitive; U-pattern","—","Monosyllabic content word with heavy coda"
kʷē.la,verb (stative),sit; be seated,"Patientive intransitive; U-pattern","—","Front harmony; /a/ is neutral for backness."
kʷē.ni,verb,know,"Transitive cognition verb; A-pattern; can take complement clause headed by nʲē; regular U-indexing on object.","—","Front harmony; intervocalic lenition kʷ → ɣʷ applies in V_V contexts."
kʷôrks,noun,bark (tree bark),"Inanimate","—","Complex coda cluster within phonotactic limits"
kʷō.lun,noun,house,"Inanimate; possessed heads bear clausal case in possessive DPs","—","—"
kʷō.mu,verb (stative),be black; be dark,"Patientive intransitive; U-pattern","—","Back harmony; rounding on /k/ phonemic"
kʷō.ran,verb,build; make; construct,"Transitive; LOC/GOAL applicatives common for site/result","—","Back-harmonic stem"
kʷō.ruk.kʷō.lun,noun,doghouse,"Compound noun; case marks the whole; harmony spans compound","kʷó.ruk + kʷō.lun","Rounding assimilation may surface at juncture"
kʷǒ.ru.kō.lo,noun,butterfly,"Animate (non-human)","—","—"
kʷú.lo,noun,water,"Inanimate mass; frequently incorporated","—","—"
kʷú.rin,noun,rope; cord,"Inanimate; plural via -li/-lu","—","Back harmony; n coda allowed"
kʷû.ro.ko,noun,crab,"Animate (non-human)","—","—"
kʷá,pronoun (interrogative),what; which (thing),"Wh-pronoun; PAT form kʷá-ne; may modify ‘person’ to yield ‘who’","—","—"
kʷá.lu,noun,road; path,"Inanimate","—","—"
kʷó.ne,noun,tree,"Inanimate; plural via -li/-lu","—","Disharmonic stem (o + e); despite internal disharmony, it selects back-harmonic suffixes."
kʷó.ruk,noun,dog,"Animate gender; takes AGT/PAT; plural via -li/-lu; controls 3AN agreement as U","—","—"
kʷó.rup,noun,bridge,"Inanimate; plural via -li/-lu","—","Final -p coda allowed"
mā.na,noun,mother,"Human gender; plural via -li; common kinship term","—","Often possessed with linker nʲē"
mí.nʲe,noun,eye,"Inanimate body-part; often possessed with linker nʲē","—","Phonemic palatal nasal series"
mú.rō,verb,see; look at,"Transitive; U-index required; with BEN applicative means ‘show’","—","—"
mē.re,verb,find; discover,"Transitive; can take incorporated inanimate theme","—","Intervocalic lenition applies in V_V contexts"
mē.tɬ,noun,hand,"Inanimate body-part; often possessed with linker nʲē","—","Coda affricate /tɬ/ permitted"
nà=,proclitic (negation),NEG; not,"Preverbal L-toned negator; downsteps first H of lexical stem (excludes A-prefix domain); no harmony","—","—"
nʲé.lʲi,noun,star,"Inanimate; palatalized coronal series present","—","—"
nʲê.mu,verb (stative),be asleep; sleep,"Patientive intransitive; U-pattern; independent U-pronoun obligatory if pronominal-only","—","Phonemic palatal nasal"
nʲē,linker/relativizer/complementizer,"of; that; which","Possessive linker (pre-nominal); general relativizer/complementizer; bears no case; allows [POSS nʲē HEAD-CASE]","—","Triggers only regular contextual palatalization effects per language rules"
ō.mo,verb,drink,"Transitive; often with incorporated kʷú.lo ‘water’","—","—"
pā.ro,noun,father,"Human gender; plural via -lu; common kinship term","—","Often possessed with linker nʲē; Back-harmonic plural"
pǎ.lok,noun,mountain,"Inanimate","—","—"
pē.ji,verb,go,"Agentive intransitive; destination can be marked either via GOAL applicative (-ke/-ko + OBL index) or via preposition kè selecting a PAT-marked NP; can also take kè + nominalized purpose.","—","—"
pjá.li.kē,verb,cook; prepare (food),"Transitive; frequently takes BEN applicative","—","—"
pjá.re,noun,moon,"Inanimate; plural via -li/-lu","—","Shares shape with verb syllables but distinct POS"
pjé.le,verb,open (tr.),"Transitive; intransitive middle with -ri possible (‘open (intr.)’)","—","Stop+glide onset"
pjé.le-nēlʃ,noun,opener; key,"Instrument/result nominal","pjé.le + -nēlʃ","Inanimate"
pjē.ne,verb (stative),be white; be bright,"Patientive intransitive; U-pattern","—","Stop+glide onset"
plí,numeral,two,"Pre-nominal; no case on numeral","—","Stop+liquid onset"
plí.te,noun,leaf,"Inanimate; plural via -li/-lu","—","Stop+liquid onset"
plēn,noun,person; man,"Human gender; takes AGT/PAT; plural via -li; controls 3HUM agreement","—","Homophonous with archaic postposition ‘among (humans)’"
plēn,postposition (archaic),among (humans),"Postposition; takes bare NP; archaic/learned register","—","Homophonous with noun ‘plēn’ ‘person’"
prí.ta,verb,run,"Agentive intransitive; A-pattern; GOAL applicative marks destination","—","Stop+liquid onset"
prí.ta-ti,noun,running; race,"Action nominal (IPFV); no A/U indexing","prí.ta + -ti","Inanimate event noun"
prē.ti,verb,eat,"Transitive; action nominal with -ti; regular agreement","—","—"
prē.ti-ti,noun,eating; the act of eating,"Action nominal (IPFV); no A/U indexing","prē.ti + -ti (IPFV.NMLZ)","—"
pwā.tu,noun,child,"Human gender; plural via -lu; controls 3HUM agreement","—","—"
pó.ro,noun,mouth,"Inanimate body-part; often possessed with linker nʲē","—","Open disyllable"
pɬē.tʲi-nēlʃ,noun,ladle; pouring tool,"Instrumental noun; inanimate","pɬē.tʲi + -nēlʃ","—"
pɬē.tʲi,verb,pour (liquid),"Transitive or agentive intransitive by context","—","—"
pɬō,particle (focus-scalar),even,"Scalar focus particle; rare","—","—"
pɬé.re,verb,close (tr.),"Transitive; intransitive middle with -ri possible (‘close (intr.)’)","—","Stop+ɬ onset"
pɬé.re-nēlʃ,noun,stopper; lid; closing tool,"Instrument/result nominal","pɬé.re + -nēlʃ","Inanimate"
rā,postposition,after; following,"Postposition taking bare complement","—","Phrase-final stress usual; tone M"
rē,postposition,near; by,"Postposition taking bare complement","—","Mid-toned postposition"
s-,prefix (derivational),distributive; pluractional,"Adds floating L that can downstep a following H; combines CAUS > DISTR > ROOT; creates stɬ- from tɬ- roots","—","—"
sklú.po,noun,fish,"Animate (non-human); plural via -li/-lu","—","—"
stráʃ,noun,stone,"Inanimate; often appears with DISTR events; pluralizable","—","—"
strá.wo.kó.ru,noun,comet,"Inanimate; rare compound","—","—"
stɬě,verb,fall,"Patientive intransitive; U-pattern","—","CCC onset stɬ- permitted"
stɬō.kʷu.lu.pō.ko,noun,constellation,"Inanimate; very rare; long polysyllable with back harmony","—","—"
stɬó.pu.kō,noun,festival; market,"Inanimate","—","—"
tē.nʲi.lʲe,noun,story; tale,"Inanimate","—","—"
ti-/tu-,prefix (agreement),2SG A-index,"Backness harmony; number-insensitive; presence does not license A pro-drop","—","—"
tjá.wen,noun,name,"Inanimate; often possessed; PAT in object position","—","—"
tō,postposition,on; upon,"Postposition; takes bare NP complement","—","—"
trí,numeral,three,"Pre-nominal; no case on numeral","—","Stop+liquid onset"
trí.wa,noun,bird,"Animate (non-human); plural via -li/-lu","—","Stop+liquid onset"
tí,pronoun (independent A/U),"you (sg)","2SG; independent pronoun; obligatory as A in finite clauses; takes case and optional plural -li; harmony applies","—","—"
tí-li,pronoun (independent A/U),"you (pl)","2PL; independent pronoun; case stacks after plural","tí + -li (PL)","Front-harmonic plural"
tɬēk,verb,break (tr.),"Transitive; anticausative with -ri (MID) possible","—","Heavy coda; no contrastive gemination"
tɬēʃ,noun,salt,"Inanimate mass; typically uncountable","—","Sibilant coda allowed"
tɬō.ra,verb (stative),stand; be standing,"Patientive intransitive; U-pattern","—","Single ɬ-affricate onset"
tɬá,numeral,one,"Pre-nominal; no case on numeral","—","Single-consonant affricate onset allowed"
tɬá.wo,noun,sun,"Inanimate; plural via -li/-lu","—","Front/back mixing avoided; H on first syllable"
tɬé.ke,verb,cut; chop,"Transitive; productive with DISTR; derives instrument/result nominals","—","—"
tɬé.ke-kè,noun,a cut; incision,"Result/state nominal; PFV suffix lexicalized with L tone","tɬé.ke + -ke (PFV.L)","—"
tɬé.ke-nēlʃ,noun,cutter; knife,"Instrumental/result noun; inanimate","tɬé.ke + -nēlʃ","—"
tʲí.ɬe,verb,speak; say,"Transitive; takes finite or nominalized complement headed by nʲē","—","Palatalized coronal in onset"
tʲí.ɬe-ti,noun,speech; statement,"Action nominal (IPFV); no A/U indexing","tʲí.ɬe + -ti","Inanimate event noun"
tʲíɬ,noun,tongue; language,"Inanimate; inherent palatalization","—","—"
wi-/wu-,prefix (agreement),3SG.AN A-index,"Backness harmony; number-insensitive; presence does not license A pro-drop","—","—"
wá,pronoun (independent A/U),"it (animate)","3SG.AN; independent pronoun; obligatory as A in finite clauses; takes case and optional plural -li","—","—"
wá-li,pronoun (independent A/U),"they (animates)","3PL.AN; case stacks after plural","wá + -li (PL)","—"
í,particle (focus),FOC,"Precedes focused constituent; H tone that downsteps a following H in its domain","—","Homophonous with 1SG pronoun; distribution and prosody distinguish"
í,pronoun (independent A/U),"I; me","1SG; independent pronoun; obligatory as A in finite clauses; takes case (-ke/-ko AGT, -ne/-no PAT) and optional plural -li; harmony applies","—","Homophonous with focus particle í; distinguished by position/prosody"
í-li,pronoun (independent A/U),"we; us","1PL; independent pronoun; case stacks after plural","í + -li (PL)","Front-harmonic plural"
ɬè,preposition,under; beneath,"Preposition selecting PAT-marked NP complement","—","L-toned function word"
ɬōr,noun,river,"Inanimate; single ɬ onset allowed word-initially","—","—"
ʃè,preposition,in; inside; into,"Preposition selecting PAT-marked NP complement","—","L-toned; distinct from COM applicative -re/-ro"
ʃē.lu,noun,rain,"Inanimate mass; typically uncountable","—","Postalveolar onset"
ʃá.ku,verb,want; desire,"Transitive; takes NP or clausal complement (nʲē)","—","Rounding assimilation on /k/ → [kʷ] before -u"
ʃé.li,verb (stative),be red; be scarlet,"Patientive intransitive; U-pattern","—","Color term as stative verb"
ʃé.ne,verb,hear; listen to,"Transitive; U-index required","—","Postalveolar fricative onset"
tʲê.ɬe,verb,hunt; chase,"Transitive; productive with DISTR s-; reciprocal/middle -ri/-ru possible; takes regular agreement","—","Palatalized coronal onset; HL tone on the first syllable as in examples"
